microbe,Age,LDA,P.value,Project,Sex,Condition,Multiple
Acetobacteraceae,Old,2.298887727,0.040377445,AGP,female,Americans-female,Yes
Acetobacteraceae,Old,2.298887727,0.040377445,GGMP,male,Chinese-male,Yes
Alcaligenaceae,Young,3.157381432,0.003975474,AGP,female,Americans-female,Yes
Alcaligenaceae,Young,2.971219962,9.93E-05,GGMP,female,Chinese-female,Yes
Alcaligenaceae,Young,3.157381432,0.003975474,GGMP,male,Chinese-male,Yes
Anaeroplasmataceae,Young,2.810862304,0.030177199,AGP,female,Americans-female,Yes
Anaeroplasmataceae,Old,2.131561019,0.015826276,AGP,male,Americans-male,Yes
Anaeroplasmataceae,Young,2.810862304,0.030177199,GGMP,male,Chinese-male,Yes
Bacillaceae,Old,2.565044212,0.047912827,AGP,male,Americans-male,No
Bacteroidaceae,Young,4.284211472,3.13E-06,AGP,female,Americans-female,Yes
Bacteroidaceae,Young,4.110138083,0.003389625,AGP,male,Americans-male,Yes
Bacteroidaceae,Young,4.44241931,1.47E-12,GGMP,female,Chinese-female,Yes
Bacteroidaceae,Young,4.284211472,3.13E-06,GGMP,male,Chinese-male,Yes
Barnesiellaceae,Young,2.068349056,0.020182337,AGP,female,Americans-female,Yes
Barnesiellaceae,Young,2.662060281,1.00E-04,GGMP,female,Chinese-female,Yes
Barnesiellaceae,Young,2.068349056,0.020182337,GGMP,male,Chinese-male,Yes
Bartonellaceae,Young,2.964736621,0.030177219,AGP,female,Americans-female,Yes
Bartonellaceae,Young,2.964736621,0.030177219,GGMP,male,Chinese-male,Yes
Bifidobacteriaceae,Young,2.762199057,1.31E-07,AGP,female,Americans-female,Yes
Bifidobacteriaceae,Young,3.371560308,9.59E-05,AGP,male,Americans-male,Yes
Bifidobacteriaceae,Young,3.036711802,1.34E-09,GGMP,female,Chinese-female,Yes
Bifidobacteriaceae,Young,2.762199057,1.31E-07,GGMP,male,Chinese-male,Yes
Bradyrhizobiaceae,Young,2.882850307,0.000134473,AGP,female,Americans-female,Yes
Bradyrhizobiaceae,Young,2.071886341,0.005786022,GGMP,female,Chinese-female,Yes
Bradyrhizobiaceae,Young,2.882850307,0.000134473,GGMP,male,Chinese-male,Yes
Brucellaceae,Young,2.061473167,0.000283316,AGP,female,Americans-female,Yes
Brucellaceae,Young,2.061473167,0.000283316,GGMP,male,Chinese-male,Yes
